Connection to (10.0.2.2, 5020) failed: [Errno 111] Connection refused
Connection to GATEWAY (10.0.2.2:5020) failed (connect() returned False). Retrying in 1.0s...


[2026-05-08 00:22:21] Bus 1: V=1.013 pu, I=169.241 A, Breaker=CLOSE
[2026-05-08 00:26:40] Bus 1: V=1.049 pu, I=399.517 A, Breaker=CLOSE
[2026-05-08 00:26:40] Bus 2: V=1.015 pu, I=737.379 A, Breaker=CLOSE
[2026-05-08 00:26:40] Bus 3: V=1.015 pu, I=716.966 A, Breaker=CLOSE
[2026-05-08 00:26:40] Bus 4: V=1.044 pu, I=291.483 A, Breaker=CLOSE
[2026-05-08 00:26:40] Bus 5: V=0.952 pu, I=282.310 A, Breaker=CLOSE


[2026-05-08 00:26:46] Bus 1: V=0.962 pu, I=688.931 A, Breaker=CLOSE
[2026-05-08 00:26:46] Bus 2: V=1.006 pu, I=316.759 A, Breaker=CLOSE
[2026-05-08 00:26:46] Bus 3: V=1.019 pu, I=723.103 A, Breaker=CLOSE
[2026-05-08 00:26:46] Bus 4: V=0.966 pu, I=636.897 A, Breaker=CLOSE
[2026-05-08 00:26:46] Bus 5: V=1.024 pu, I=234.103 A, Breaker=CLOSE


[2026-05-08 00:26:51] Bus 1: V=1.031 pu, I=860.931 A, Breaker=CLOSE
[2026-05-08 00:26:51] Bus 2: V=0.960 pu, I=179.138 A, Breaker=CLOSE
[2026-05-08 00:26:51] Bus 3: V=0.981 pu, I=682.034 A, Breaker=CLOSE
[2026-05-08 00:26:51] Bus 4: V=1.045 pu, I=435.172 A, Breaker=CLOSE
[2026-05-08 00:26:51] Bus 5: V=1.021 pu, I=206.069 A, Breaker=CLOSE


[2026-05-08 00:26:57] Bus 1: V=1.019 pu, I=619.172 A, Breaker=CLOSE
[2026-05-08 00:26:57] Bus 2: V=0.960 pu, I=772.517 A, Breaker=CLOSE
[2026-05-08 00:26:57] Bus 3: V=1.035 pu, I=589.862 A, Breaker=CLOSE
[2026-05-08 00:26:57] Bus 4: V=0.962 pu, I=938.552 A, Breaker=CLOSE
[2026-05-08 00:26:57] Bus 5: V=1.028 pu, I=405.897 A, Breaker=CLOSE


[2026-05-08 00:27:02] Bus 1: V=0.992 pu, I=438.345 A, Breaker=CLOSE
[2026-05-08 00:27:02] Bus 2: V=1.000 pu, I=412.586 A, Breaker=CLOSE
[2026-05-08 00:27:02] Bus 3: V=1.034 pu, I=753.448 A, Breaker=CLOSE
[2026-05-08 00:27:02] Bus 4: V=0.960 pu, I=921.759 A, Breaker=CLOSE
[2026-05-08 00:27:02] Bus 5: V=1.013 pu, I=774.172 A, Breaker=CLOSE


[2026-05-08 00:27:08] Bus 1: V=1.020 pu, I=474.862 A, Breaker=CLOSE
[2026-05-08 00:27:08] Bus 2: V=1.023 pu, I=868.655 A, Breaker=CLOSE
[2026-05-08 00:27:08] Bus 3: V=0.977 pu, I=787.103 A, Breaker=CLOSE
[2026-05-08 00:27:08] Bus 4: V=1.003 pu, I=519.345 A, Breaker=CLOSE
[2026-05-08 00:27:08] Bus 5: V=0.987 pu, I=176.552 A, Breaker=CLOSE


[2026-05-08 00:27:14] Bus 1: V=0.976 pu, I=821.241 A, Breaker=CLOSE
[2026-05-08 00:27:14] Bus 2: V=0.971 pu, I=783.655 A, Breaker=CLOSE
[2026-05-08 00:27:14] Bus 3: V=0.984 pu, I=837.379 A, Breaker=CLOSE
[2026-05-08 00:27:14] Bus 4: V=1.020 pu, I=356.103 A, Breaker=CLOSE
[2026-05-08 00:27:14] Bus 5: V=0.959 pu, I=335.207 A, Breaker=CLOSE


[2026-05-08 00:27:25] Bus 1: V=1.019 pu, I=378.828 A, Breaker=CLOSE
[2026-05-08 00:27:25] Bus 2: V=1.008 pu, I=509.379 A, Breaker=CLOSE
[2026-05-08 00:27:25] Bus 3: V=1.003 pu, I=475.621 A, Breaker=CLOSE
[2026-05-08 00:27:25] Bus 4: V=0.968 pu, I=327.931 A, Breaker=CLOSE
[2026-05-08 00:27:25] Bus 5: V=0.998 pu, I=706.345 A, Breaker=CLOSE


[2026-05-08 00:27:37] Bus 1: V=1.047 pu, I=527.586 A, Breaker=CLOSE
[2026-05-08 00:27:37] Bus 2: V=0.978 pu, I=234.310 A, Breaker=CLOSE
[2026-05-08 00:27:37] Bus 3: V=1.036 pu, I=508.241 A, Breaker=CLOSE
[2026-05-08 00:27:37] Bus 4: V=1.037 pu, I=569.207 A, Breaker=CLOSE
[2026-05-08 00:27:37] Bus 5: V=0.955 pu, I=278.793 A, Breaker=CLOSE


[2026-05-08 00:27:50] Bus 1: V=1.006 pu, I=381.897 A, Breaker=CLOSE
[2026-05-08 00:27:50] Bus 2: V=1.049 pu, I=231.448 A, Breaker=CLOSE
[2026-05-08 00:27:50] Bus 3: V=1.026 pu, I=599.172 A, Breaker=CLOSE
[2026-05-08 00:27:50] Bus 4: V=1.029 pu, I=315.517 A, Breaker=CLOSE
[2026-05-08 00:27:50] Bus 5: V=0.970 pu, I=322.931 A, Breaker=CLOSE


[2026-05-08 00:28:01] Bus 1: V=1.016 pu, I=268.034 A, Breaker=CLOSE
[2026-05-08 00:28:01] Bus 2: V=0.967 pu, I=216.862 A, Breaker=CLOSE
[2026-05-08 00:28:01] Bus 3: V=0.950 pu, I=522.138 A, Breaker=CLOSE
[2026-05-08 00:28:01] Bus 4: V=1.009 pu, I=371.207 A, Breaker=CLOSE
[2026-05-08 00:28:01] Bus 5: V=0.992 pu, I=572.207 A, Breaker=CLOSE


